date,GISS,HAD,NOAA,RSS,UAH
201003,0.85,0.582,0.7755,0.599,0.554
201004,0.75,0.572,0.729,0.506,0.4
201005,0.64,0.516,0.69,0.531,0.454
201006,0.55,0.541,0.657,0.494,0.385
201007,0.5,0.544,0.6413,0.564,0.419
201008,0.54,0.485,0.5642,0.554,0.441
201009,0.54,0.391,0.4851,0.511,0.477
201010,0.62,0.4,0.5429,0.303,0.306
201011,0.73,0.456,0.6998,0.316,0.273
201012,0.4,0.253,0.3786,0.22,0.181
201101,0.46,0.194,0.3768,0.084,-0.01
201102,NA,NA,NA,0.051,-0.018
