county_id,county_name,state,population
34017,Hudson County,New Jersey,47696
1073,Jefferson County,Alabama,64904
47037,Davidson County,Tennessee,44817
8041,El Paso County,Colorado,49269
48157,Fort Bend County,Texas,41877
8031,Denver,Colorado,41149
11001,District of Columbia,District of Columbia,57641
34025,Monmouth County,New Jersey,51401
44007,Providence County,Rhode Island,79723
42017,Bucks County,Pennsylvania,73599
12105,Polk County,Florida,68327
40143,Tulsa County,Oklahoma,69705
24510,Baltimore City,Maryland,59416
26081,Kent County,Michigan,41626
8005,Arapahoe County,Colorado,79447
34029,Ocean County,New Jersey,43325
20091,Johnson County,Kansas,71268
42045,Delaware County,Pennsylvania,41608
24003,Anne Arundel County,Maryland,60475
41067,Washington County,Oregon,63634
25005,Bristol County,Massachusetts,41191
49049,Utah County,Utah,76813
8059,Jefferson County,Colorado,46734
12009,Brevard County,Florida,62690
10003,New Castle County,Delaware,72005
34039,Union County,New Jersey,59539
39153,Summit County,Ohio,40163
31055,Douglas County,Nebraska,78804
39113,Montgomery County,Ohio,72419
42071,Lancaster County,Pennsylvania,49628
27123,Ramsey County,Minnesota,56759
6099,Stanislaus County,California,58838
17089,Kane County,Illinois,45396
34007,Camden County,New Jersey,40826
55025,Dane County,Wisconsin,72200
42029,Chester County,Pennsylvania,73214
37081,Guilford County,North Carolina,74957
34031,Passaic County,New Jersey,69731
20173,Sedgwick County,Kansas,68176
25023,Plymouth County,Massachusetts,73962
12127,Volusia County,Florida,77460
34027,Morris County,New Jersey,57971
48339,Montgomery County,Texas,57576
6097,Sonoma County,California,44826
18089,Lake County,Indiana,56233
53063,Spokane County,Washington,41167
12101,Pasco County,Florida,55605
45045,Greenville County,South Carolina,52171
36085,Richmond County,New York,61586
48491,Williamson County,Texas,73143
8001,Adams County,Colorado,51366
36067,Onondaga County,New York,59101
25013,Hampden County,Massachusetts,49747
6107,Tulare County,California,52898
19153,Polk County,Iowa,46513
34005,Burlington County,New Jersey,58028
51810,Virginia Beach,Virginia,49077
22033,East Baton Rouge Parish,Louisiana,77164
47093,Knox County,Tennessee,45425
53011,Clark County,Washington,55693
42133,York County,Pennsylvania,75370
51153,Prince William County,Virginia,63516
39095,Lucas County,Ohio,73533
12117,Seminole County,Florida,45902
6083,Santa Barbara County,California,54920
22051,Jefferson Parish,Louisiana,67168
32031,Washoe County,Nevada,63021
6053,Monterey County,California,66401
6095,Solano County,California,71234
48061,Cameron County,Texas,56100
16001,Ada County,Idaho,63016
26049,Genesee County,Michigan,72371
1097,Mobile County,Alabama,44227
42011,Berks County,Pennsylvania,47955
27037,Dakota County,Minnesota,63117
33011,Hillsborough County,New Hampshire,50788
45079,Richland County,South Carolina,51867
55133,Waukesha County,Wisconsin,64515
5119,Pulaski County,Arkansas,55989
12115,Sarasota County,Florida,56699
4021,Pinal County,Arizona,48068
41005,Clackamas County,Oregon,64290
22071,Orleans Parish,Louisiana,52957
36071,Orange County,New York,78659
39151,Stark County,Ohio,40570
29183,St. Charles County,Missouri,74425
45019,Charleston County,South Carolina,79162
39017,Butler County,Ohio,45137
34021,Mercer County,New Jersey,48470
6061,Placer County,California,41196
18003,Allen County,Indiana,48817
42129,Westmoreland County,Pennsylvania,54303
37067,Forsyth County,North Carolina,68495
41039,Lane County,Oregon,51562
42077,Lehigh County,Pennsylvania,49118
26161,Washtenaw County,Michigan,50029
48355,Nueces County,Texas,58677
51107,Loudoun County,Virginia,48826
47065,Hamilton County,Tennessee,71039
1089,Madison County,Alabama,50182
12081,Manatee County,Florida,63884
12021,Collier County,Florida,63408
27003,Anoka County,Minnesota,49564
12083,Marion County,Florida,76003
34035,Somerset County,New Jersey,70757
48039,Brazoria County,Texas,74226
51041,Chesterfield County,Virginia,57209
48027,Bell County,Texas,48582
37051,Cumberland County,North Carolina,79551
41047,Marion County,Oregon,51973
49011,Davis County,Utah,40856
36087,Rockland County,New York,41577
42079,Luzerne County,Pennsylvania,73337
51087,Henrico County,Virginia,68298
29510,St. Louis,Missouri,77444
8069,Larimer County,Colorado,69063
8013,Boulder County,Colorado,48016
21067,Fayette County,Kentucky,49637
12069,Lake County,Florida,49289
17111,McHenry County,Illinois,73136
36001,Albany County,New York,42210
48167,Galveston County,Texas,64431
8035,Douglas County,Colorado,64211
12033,Escambia County,Florida,59664
24027,Howard County,Maryland,47434
39093,Lorain County,Ohio,68294
2020,Anchorage,Alaska,58285
42095,Northampton County,Pennsylvania,76323
33015,Rockingham County,New Hampshire,65403
12097,Osceola County,Florida,68626
31109,Lancaster County,Nebraska,44678
36027,Dutchess County,New York,46177
18057,Hamilton County,Indiana,40877
45083,Spartanburg County,South Carolina,76866
17201,Winnebago County,Illinois,41565
34015,Gloucester County,New Jersey,47281
45051,Horry County,South Carolina,71280
48303,Lubbock County,Texas,64030
37063,Durham County,North Carolina,51325
12111,St. Lucie County,Florida,45549
23005,Cumberland County,Maine,79795
29077,Greene County,Missouri,68912
26065,Ingham County,Michigan,60544
12073,Leon County,Florida,76880
47149,Rutherford County,Tennessee,54109
42049,Erie County,Pennsylvania,66067
13051,Chatham County,Georgia,56829
6079,San Luis Obispo County,California,72837
34001,Atlantic County,New Jersey,56770
9011,New London County,Connecticut,62348
45063,Lexington County,South Carolina,77142
26139,Ottawa County,Michigan,56334
42043,Dauphin County,Pennsylvania,79677
8123,Weld County,Colorado,49702
6087,Santa Cruz County,California,66399
40027,Cleveland County,Oklahoma,46505
17119,Madison County,Illinois,40481
17163,St. Clair County,Illinois,63012
18141,St. Joseph County,Indiana,75997
13063,Clayton County,Georgia,42783
6047,Merced County,California,48532
48479,Webb County,Texas,79445
53067,Thurston County,Washington,43199
6041,Marin County,California,68434
26077,Kalamazoo County,Michigan,43813
22017,Caddo Parish,Louisiana,76326
55009,Brown County,Wisconsin,63520
53035,Kitsap County,Washington,56459
12001,Alachua County,Florida,46697
48245,Jefferson County,Texas,51998
24025,Harford County,Maryland,57531
37021,Buncombe County,North Carolina,43225
53077,Yakima County,Washington,71682
27163,Washington County,Minnesota,70907
51710,Norfolk,Virginia,65449
28049,Hinds County,Mississippi,41867
22103,St. Tammany Parish,Louisiana,68826
48309,McLennan County,Texas,55487
24021,Frederick County,Maryland,41196
42041,Cumberland County,Pennsylvania,52960
45091,York County,South Carolina,77843
49057,Weber County,Utah,75636
5007,Benton County,Arkansas,41561
39099,Mahoning County,Ohio,75346
36065,Oneida County,New York,44200
22055,Lafayette Parish,Louisiana,40302
51550,Chesapeake,Virginia,47681
29047,Clay County,Missouri,76049
39085,Lake County,Ohio,45519
1101,Montgomery County,Alabama,55555
13057,Cherokee County,Georgia,59769
51013,Arlington County,Virginia,60177
36091,Saratoga County,New York,69502
6007,Butte County,California,49825
29099,Jefferson County,Missouri,66802
39165,Warren County,Ohio,69241
5143,Washington County,Arkansas,40827
19113,Linn County,Iowa,43467
48423,Smith County,Texas,43383
4025,Yavapai County,Arizona,66638
25001,Barnstable County,Massachusetts,60440
36063,Niagara County,New York,71368
51760,Richmond,Virginia,57439
42069,Lackawanna County,Pennsylvania,41287
35013,Doña Ana County,New Mexico,41243
37129,New Hanover County,North Carolina,64027
37179,Union County,North Carolina,78445
13151,Henry County,Georgia,58154
12109,St. Johns County,Florida,59451
37071,Gaston County,North Carolina,73262
41029,Jackson County,Oregon,53321
42125,Washington County,Pennsylvania,50750
10005,Sussex County,Delaware,65927
39155,Trumbull County,Ohio,53798
53073,Whatcom County,Washington,64224
17019,Champaign County,Illinois,48266
6113,Yolo County,California,49405
1117,Shelby County,Alabama,70023
48041,Brazos County,Texas,66740
4015,Mohave County,Arizona,43533
13215,Muscogee County,Georgia,76360
13245,Richmond County,Georgia,43499
4027,Yuma County,Arizona,42974
1125,Tuscaloosa County,Alabama,76941
18039,Elkhart County,Indiana,65784
27137,St. Louis County,Minnesota,55173
39025,Clermont County,Ohio,58928
23031,York County,Maine,51587
17167,Sangamon County,Illinois,42919
47187,Williamson County,Tennessee,55880
16027,Canyon County,Idaho,64580
36007,Broome County,New York,43131
26145,Saginaw County,Michigan,56477
28047,Harrison County,Mississippi,45589
12019,Clay County,Florida,73097
1003,Baldwin County,Alabama,62591
13117,Forsyth County,Georgia,58313
22019,Calcasieu Parish,Louisiana,72551
55101,Racine County,Wisconsin,76975
45015,Berkeley County,South Carolina,63129
12091,Okaloosa County,Florida,75896
54039,Kanawha County,West Virginia,48860
15001,Hawaii County,Hawai,52115
45007,Anderson County,South Carolina,63756
17143,Peoria County,Illinois,47439
13139,Hall County,Georgia,78910
37025,Cabarrus County,North Carolina,71013
9005,Litchfield County,Connecticut,50322
42019,Butler County,Pennsylvania,43288
37133,Onslow County,North Carolina,48058
39041,Delaware County,Ohio,52950
53005,Benton County,Washington,59140
26093,Livingston County,Michigan,48551
47125,Montgomery County,Tennessee,78613
51700,Newport News,Virginia,42851
6017,El Dorado County,California,76470
18163,Vanderburgh County,Indiana,68692
36111,Ulster County,New York,52188
55087,Outagamie County,Wisconsin,48284
18157,Tippecanoe County,Indiana,49198
46099,Minnehaha County,South Dakota,75120
6089,Shasta County,California,67398
20177,Shawnee County,Kansas,70157
37101,Johnston County,North Carolina,41567
6025,Imperial County,California,42798
48209,Hays County,Texas,76177
12005,Bay County,Florida,74200
39103,Medina County,Ohio,74201
17113,McLean County,Illinois,61816
12053,Hernando County,Florida,49172
37147,Pitt County,North Carolina,48211
45013,Beaufort County,South Carolina,48707
26121,Muskegon County,Michigan,53494
29019,Boone County,Missouri,60018
19163,Scott County,Iowa,69494
42007,Beaver County,Pennsylvania,74885
55139,Winnebago County,Wisconsin,42764
10001,Kent County,Delaware,60227
31153,Sarpy County,Nebraska,68998
47165,Sumner County,Tennessee,77222
39089,Licking County,Ohio,76961
28033,DeSoto County,Mississippi,47341
55059,Kenosha County,Wisconsin,46006
24013,Carroll County,Maryland,49680
42089,Monroe County,Pennsylvania,50087
18127,Porter County,Indiana,66741
41017,Deschutes County,Oregon,68794
9007,Middlesex County,Connecticut,44920
44003,Kent County,Rhode Island,59738
12015,Charlotte County,Florida,78879
37097,Iredell County,North Carolina,76869
45003,Aiken County,South Carolina,76612
39133,Portage County,Ohio,47216
37057,Davidson County,North Carolina,53314
39057,Greene County,Ohio,76459
21117,Kenton County,Kentucky,54382
38017,Cass County,North Dakota,60871
8101,Pueblo County,Colorado,46099
12113,Santa Rosa County,Florida,62496
55105,Rock County,Wisconsin,63832
26147,St. Clair County,Michigan,67886
20209,Wyandotte County,Kansas,48379
26075,Jackson County,Michigan,49562
15009,Maui County,Hawai,61256
36083,Rensselaer County,New York,79689
25015,Hampshire County,Massachusetts,79004
50007,Chittenden County,Vermont,52696
34011,Cumberland County,New Jersey,48156
47163,Sullivan County,Tennessee,59655
22073,Ouachita Parish,Louisiana,42473
48139,Ellis County,Texas,50222
42027,Centre County,Pennsylvania,47605
36093,Schenectady County,New York,71905
26021,Berrien County,Michigan,43554
37035,Catawba County,North Carolina,64425
13021,Bibb County,Georgia,66530
48251,Johnson County,Texas,48175
37001,Alamance County,North Carolina,66101
30111,Yellowstone County,Montana,62887
18063,Hendricks County,Indiana,41362
23019,Penobscot County,Maine,50283
24017,Charles County,Maryland,56885
6039,Madera County,California,56315
27145,Stearns County,Minnesota,56118
42055,Franklin County,Pennsylvania,73525
48329,Midland County,Texas,56770
9013,Tolland County,Connecticut,51155
12085,Martin County,Florida,59207
6031,Kings County,California,70349
1081,Lee County,Alabama,51206
26115,Monroe County,Michigan,54316
24043,Washington County,Maryland,62182
48135,Ector County,Texas,59697
27109,Olmsted County,Minnesota,70430
51510,Alexandria,Virginia,79094
39045,Fairfield County,Ohio,55932
49053,Washington County,Utah,55037
13153,Houston County,Georgia,48383
8077,Mesa County,Colorado,75033
35049,Santa Fe County,New Mexico,78814
17161,Rock Island County,Illinois,50646
13223,Paulding County,Georgia,78476
42107,Schuylkill County,Pennsylvania,73602
33013,Merrimack County,New Hampshire,69032
28121,Rankin County,Mississippi,67170
34037,Sussex County,New Jersey,48480
18081,Johnson County,Indiana,73402
45035,Dorchester County,South Carolina,64059
16055,Kootenai County,Idaho,72863
48187,Guadalupe County,Texas,52616
37151,Randolph County,North Carolina,49731
12061,Indian River County,Florida,55858
18105,Monroe County,Indiana,48538
42021,Cambria County,Pennsylvania,55057
28059,Jackson County,Mississippi,45348
37135,Orange County,North Carolina,79687
6055,Napa County,California,48570
12017,Citrus County,Florida,65822
19103,Johnson County,Iowa,64687
45041,Florence County,South Carolina,66839
37159,Rowan County,North Carolina,67373
27139,Scott County,Minnesota,54435
51179,Stafford County,Virginia,51623
51650,Hampton,Virginia,56792
35043,Sandoval County,New Mexico,62716
4005,Coconino County,Arizona,65740
13097,Douglas County,Georgia,66147
17179,Tazewell County,Illinois,47777
39023,Clark County,Ohio,66187
42075,Lebanon County,Pennsylvania,52755
13073,Columbia County,Georgia,51285
55073,Marathon County,Wisconsin,40786
26025,Calhoun County,Michigan,53952
42051,Fayette County,Pennsylvania,68915
37155,Robeson County,North Carolina,78074
6023,Humboldt County,California,62156
48441,Taylor County,Texas,50977
22063,Livingston Parish,Louisiana,69678
13077,Coweta County,Georgia,73414
36013,Chautauqua County,New York,75624
55131,Washington County,Wisconsin,63870
22079,Rapides Parish,Louisiana,76292
19013,Black Hawk County,Iowa,47711
48485,Wichita County,Texas,45181
18095,Madison County,Indiana,74483
25003,Berkshire County,Massachusetts,44817
4003,Cochise County,Arizona,73837
39173,Wood County,Ohio,73694
27171,Wright County,Minnesota,79716
51177,Spotsylvania County,Virginia,72461
5131,Sebastian County,Arkansas,46064
35045,San Juan County,New Mexico,49425
48381,Randall County,Texas,46689
42013,Blair County,Pennsylvania,44938
44009,Washington County,Rhode Island,72736
34019,Hunterdon County,New Jersey,53573
40017,Canadian County,Oklahoma,51007
47179,Washington County,Tennessee,69173
22105,Tangipahoa Parish,Louisiana,48356
47009,Blount County,Tennessee,57261
37085,Harnett County,North Carolina,54267
40031,Comanche County,Oklahoma,64145
33017,Strafford County,New Hampshire,42162
37191,Wayne County,North Carolina,61677
21015,Boone County,Kentucky,53728
22015,Bossier Parish,Louisiana,45207
48183,Gregg County,Texas,47815
48181,Grayson County,Texas,79079
47189,Wilson County,Tennessee,64533
39139,Richland County,Ohio,69616
48375,Potter County,Texas,79686
48367,Parker County,Texas,69166
13059,Clarke County,Georgia,45848
36075,Oswego County,New York,41846
23011,Kennebec County,Maine,52900
45077,Pickens County,South Carolina,52521
1103,Morgan County,Alabama,48750
5045,Faulkner County,Arkansas,75800
36045,Jefferson County,New York,45682
17093,Kendall County,Illinois,75400
53057,Skagit County,Washington,40489
41043,Linn County,Oregon,46971
48091,Comal County,Texas,57960
21227,Warren County,Kentucky,59172
9015,Windham County,Connecticut,57038
18035,Delaware County,Indiana,63933
49005,Cache County,Utah,75171
42081,Lycoming County,Pennsylvania,57950
1015,Calhoun County,Alabama,51791
55063,La Crosse County,Wisconsin,44510
29097,Jasper County,Missouri,74135
37019,Brunswick County,North Carolina,53435
42085,Mercer County,Pennsylvania,77254
39169,Wayne County,Ohio,43400
48451,Tom Green County,Texas,49123
55117,Sheboygan County,Wisconsin,75306
5125,Saline County,Arkansas,71770
22005,Ascension Parish,Louisiana,79608
20045,Douglas County,Kansas,66576
18019,Clark County,Indiana,67340
13185,Lowndes County,Georgia,73483
22109,Terrebonne Parish,Louisiana,61602
26005,Allegan County,Michigan,53493
13045,Carroll County,Georgia,62607
17099,LaSalle County,Illinois,67968
17091,Kankakee County,Illinois,53623
36089,St. Lawrence County,New York,40750
30063,Missoula County,Montana,75483
18091,LaPorte County,Indiana,78731
24037,St. Mary's County,Maryland,78311
37089,Henderson County,North Carolina,61686
17115,Macon County,Illinois,70884
36069,Ontario County,New York,40551
54003,Berkeley County,West Virginia,60236
48257,Kaufman County,Texas,45985
13113,Fayette County,Georgia,70894
26045,Eaton County,Michigan,46946
18167,Vigo County,Indiana,42783
21093,Hardin County,Kentucky,60571
45085,Sumter County,South Carolina,42222
23001,Androscoggin County,Maine,63134
16019,Bonneville County,Idaho,77965
34041,Warren County,New Jersey,78887
4017,Navajo County,Arizona,53765
12119,Sumter County,Florida,76623
41019,Douglas County,Oregon,59764
26017,Bay County,Michigan,71342
39029,Columbiana County,Ohio,41825
46103,Pennington County,South Dakota,49312
39003,Allen County,Ohio,66224
17037,DeKalb County,Illinois,56714
37049,Craven County,North Carolina,67883
1055,Etowah County,Alabama,45764
1069,Houston County,Alabama,62335
36109,Tompkins County,New York,67082
39109,Miami County,Ohio,56837
51003,Albemarle County,Virginia,74510
13313,Whitfield County,Georgia,56607
55127,Walworth County,Wisconsin,74902
13217,Newton County,Georgia,47059
54061,Monongalia County,West Virginia,42799
19193,Woodbury County,Iowa,53918
24015,Cecil County,Maryland,74550
53015,Cowlitz County,Washington,58850
47011,Bradley County,Tennessee,58352
29071,Franklin County,Missouri,54708
55039,Fond du Lac County,Wisconsin,44291
42001,Adams County,Pennsylvania,62167
5031,Craighead County,Arkansas,62801
55035,Eau Claire County,Wisconsin,56654
51085,Hanover County,Virginia,75926
13015,Bartow County,Georgia,52683
24045,Wicomico County,Maryland,62910
41071,Yamhill County,Oregon,76732
29037,Cass County,Missouri,67669
2090,Fairbanks North Star Borough,Alaska,75924
28089,Madison County,Mississippi,48879
12035,Flagler County,Florida,74072
39007,Ashtabula County,Ohio,72683
36079,Putnam County,New York,76914
26091,Lenawee County,Michigan,59648
47113,Madison County,Tennessee,79675
36101,Steuben County,New York,58031
51770,Roanoke,Virginia,47453
21059,Daviess County,Kentucky,46604
6057,Nevada County,California,77143
12055,Highlands County,Florida,65195
5051,Garland County,Arkansas,59114
22057,Lafourche Parish,Louisiana,57096
54011,Cabell County,West Virginia,55040
37045,Cleveland County,North Carolina,52961
51121,Montgomery County,Virginia,59426
51740,Portsmouth,Virginia,43510
34009,Cape May County,New Jersey,51089
13115,Floyd County,Georgia,45908
56021,Laramie County,Wyoming,72005
19061,Dubuque County,Iowa,56425
27019,Carver County,Minnesota,64377
6101,Sutter County,California,41594
2170,Matanuska-Susitna Borough,Alaska,79090
37127,Nash County,North Carolina,46451
1095,Marshall County,Alabama,55723
30031,Gallatin County,Montana,57956
42097,Northumberland County,Pennsylvania,53480
39055,Geauga County,Ohio,45050
47155,Sevier County,Tennessee,63009
51161,Roanoke County,Virginia,70530
48037,Bowie County,Texas,71546
29165,Platte County,Missouri,77629
30029,Flathead County,Montana,40306
13095,Dougherty County,Georgia,72143
1077,Lauderdale County,Alabama,57869
19155,Pottawattamie County,Iowa,59545
39157,Tuscarawas County,Ohio,70223
36117,Wayne County,New York,60829
19169,Story County,Iowa,72124
37157,Rockingham County,North Carolina,67458
53025,Grant County,Washington,61268
37125,Moore County,North Carolina,79679
21037,Campbell County,Kentucky,76816
45075,Orangeburg County,South Carolina,70867
24009,Calvert County,Maryland,49024
27141,Sherburne County,Minnesota,75832
48469,Victoria County,Texas,55283
26055,Grand Traverse County,Michigan,60027
37023,Burke County,North Carolina,50563
29021,Buchanan County,Missouri,70475
33009,Grafton County,New Hampshire,43966
42073,Lawrence County,Pennsylvania,47455
40131,Rogers County,Oklahoma,74866
1083,Limestone County,Alabama,63569
36015,Chemung County,New York,50419
38015,Burleigh County,North Dakota,74044
26087,Lapeer County,Michigan,64136
55027,Dodge County,Wisconsin,76321
42063,Indiana County,Pennsylvania,69037
48005,Angelina County,Texas,76776
42039,Crawford County,Pennsylvania,58151
6045,Mendocino County,California,74138
55089,Ozaukee County,Wisconsin,48249
48231,Hunt County,Texas,73897
13247,Rockdale County,Georgia,51194
53021,Franklin County,Washington,65018
41003,Benton County,Oregon,54565
54107,Wood County,West Virginia,53626
1115,St. Clair County,Alabama,59310
55109,St. Croix County,Wisconsin,68845
13297,Walton County,Georgia,75101
51800,Suffolk,Virginia,52081
21151,Madison County,Kentucky,69581
28081,Lee County,Mississippi,49957
48397,Rockwall County,Texas,62225
39119,Muskingum County,Ohio,44668
55055,Jefferson County,Wisconsin,49302
26111,Midland County,Michigan,64958
47119,Maury County,Tennessee,64977
22097,St. Landry Parish,Louisiana,57387
41033,Josephine County,Oregon,55669
16005,Bannock County,Idaho,43182
48361,Orange County,Texas,56968
18067,Howard County,Indiana,67558
44005,Newport County,Rhode Island,57678
30013,Cascade County,Montana,69034
37027,Caldwell County,North Carolina,76390
37195,Wilson County,North Carolina,62536
36019,Clinton County,New York,61644
13127,Glynn County,Georgia,40142
51069,Frederick County,Virginia,53742
42033,Clearfield County,Pennsylvania,66190
1121,Talladega County,Alabama,61277
56025,Natrona County,Wyoming,44738
1051,Elmore County,Alabama,64584
29043,Christian County,Missouri,58496
1043,Cullman County,Alabama,79895
55071,Manitowoc County,Wisconsin,71480
45057,Lancaster County,South Carolina,53363
17183,Vermilion County,Illinois,72552
28075,Lauderdale County,Mississippi,49667
16083,Twin Falls County,Idaho,56507
37109,Lincoln County,North Carolina,46895
18005,Bartholomew County,Indiana,40634
36011,Cayuga County,New York,58603
40119,Payne County,Oklahoma,51504
36009,Cattaraugus County,New York,65689
54081,Raleigh County,West Virginia,78287
53029,Island County,Washington,62949
48213,Henderson County,Texas,62384
5145,White County,Arkansas,57502
20103,Leavenworth County,Kansas,62288
39145,Scioto County,Ohio,68279
51680,Lynchburg,Virginia,47513
18085,Kosciusko County,Indiana,64340
39141,Ross County,Ohio,47088
51165,Rockingham County,Virginia,76154
29031,Cape Girardeau County,Missouri,72751
28035,Forrest County,Mississippi,66892
48291,Liberty County,Texas,43344
21029,Bullitt County,Kentucky,68242
41053,Polk County,Oregon,59228
26037,Clinton County,Michigan,62535
41059,Umatilla County,Oregon,42345
29051,Cole County,Missouri,79795
36105,Sullivan County,New York,58869
33005,Cheshire County,New Hampshire,59977
42111,Somerset County,Pennsylvania,68500
12087,Monroe County,Florida,56292
35061,Valencia County,New Mexico,63262
18043,Floyd County,Indiana,52464
48099,Coryell County,Texas,60483
39043,Erie County,Ohio,60737
48021,Bastrop County,Texas,64998
39063,Hancock County,Ohio,48767
12089,Nassau County,Florida,75353
40145,Wagoner County,Oklahoma,61321
47001,Anderson County,Tennessee,59612
26159,Van Buren County,Michigan,51752
20161,Riley County,Kansas,57617
53041,Lewis County,Washington,63889
45073,Oconee County,South Carolina,77866
19049,Dallas County,Iowa,57304
21047,Christian County,Kentucky,60616
53007,Chelan County,Washington,63442
55141,Wood County,Wisconsin,62312
51015,Augusta County,Virginia,41692
22045,Iberia Parish,Louisiana,56218
47141,Putnam County,Tennessee,58843
24001,Allegany County,Maryland,49528
6115,Yuba County,California,59712
35031,McKinley County,New Mexico,70312
5069,Jefferson County,Arkansas,43714
37171,Surry County,North Carolina,54173
12107,Putnam County,Florida,44959
36053,Madison County,New York,69968
53009,Clallam County,Washington,68891
4001,Apache County,Arizona,64923
18059,Hancock County,Indiana,43873
13013,Barrow County,Georgia,47994
25011,Franklin County,Massachusetts,54761
13031,Bulloch County,Georgia,44062
40125,Pottawatomie County,Oklahoma,69413
53027,Grays Harbor County,Washington,52398
1049,DeKalb County,Alabama,56300
5085,Lonoke County,Arkansas,56153
51095,James City County,Virginia,77342
40037,Creek County,Oklahoma,54634
26073,Isabella County,Michigan,79754
55097,Portage County,Wisconsin,65350
40101,Muskogee County,Oklahoma,51585
23003,Aroostook County,Maine,69020
18109,Morgan County,Indiana,44049
45047,Greenwood County,South Carolina,56354
39013,Belmont County,Ohio,43897
15007,Kauai County,Hawai,40442
38035,Grand Forks County,North Dakota,70601
18053,Grant County,Indiana,58562
13285,Troup County,Georgia,56167
37193,Wilkes County,North Carolina,67834
54033,Harrison County,West Virginia,49269
28067,Jones County,Mississippi,49813
26155,Shiawassee County,Michigan,46259
48471,Walker County,Texas,46808
37031,Carteret County,North Carolina,72604
47059,Greene County,Tennessee,46212
13295,Walker County,Georgia,49321
42005,Armstrong County,Pennsylvania,43951
35025,Lea County,New Mexico,57577
38101,Ward County,North Dakota,64987
39081,Jefferson County,Ohio,50447
45031,Darlington County,South Carolina,75681
18177,Wayne County,Indiana,51128
26103,Marquette County,Michigan,57088
12023,Columbia County,Florida,61485
47147,Robertson County,Tennessee,55039
51061,Fauquier County,Virginia,49437
17001,Adams County,Illinois,59324
37161,Rutherford County,North Carolina,51126
17199,Williamson County,Illinois,47189
48203,Harrison County,Texas,78912
37037,Chatham County,North Carolina,69423
42037,Columbia County,Pennsylvania,44399
51199,York County,Virginia,67312
45059,Laurens County,South Carolina,41927
29187,St. Francois County,Missouri,74359
48409,San Patricio County,Texas,75578
1127,Walker County,Alabama,47156
41035,Klamath County,Oregon,49002
39101,Marion County,Ohio,59859
35005,Chaves County,New Mexico,47160
