date,count,count2,count3
06/21/04,15,24,24
06/22/04,1,20,3
06/23/04,22,30,25
06/24/04,25,22,16
06/25/04,11,8,4
06/26/04,1,1,9
06/27/04,14,18,16
06/28/04,30,21,30
06/29/04,22,6,6
06/30/04,1,18,21
07/01/04,17,8,23
07/02/04,9,13,19
07/03/04,21,28,30
07/04/04,21,8,29
07/05/04,6,10,7
07/06/04,23,16,11
07/07/04,9,19,16
07/08/04,14,12,27
07/09/04,1,9,14
07/10/04,18,29,24
07/11/04,20,13,13
07/12/04,5,29,20
07/13/04,13,6,10
07/14/04,25,5,24
07/15/04,12,15,10
07/16/04,1,28,6
07/17/04,7,24,22
07/18/04,29,17,19
07/19/04,28,23,12
07/20/04,26,4,30
07/21/04,7,24,28
07/22/04,14,11,4
07/23/04,9,11,5
07/24/04,19,24,4
07/25/04,5,16,29
07/26/04,23,21,10
07/27/04,29,28,11
07/28/04,24,12,26
07/29/04,30,19,22
07/30/04,4,11,23
07/31/04,12,26,19
08/01/04,25,21,7
08/02/04,6,19,23
08/03/04,15,19,4
08/04/04,28,23,6
08/05/04,14,26,23
08/06/04,19,30,23
08/07/04,7,12,22
08/08/04,25,28,27
08/09/04,2,26,10
08/10/04,28,25,22
08/11/04,15,6,11
08/12/04,7,13,25
08/13/04,10,19,20
08/14/04,8,6,1
08/15/04,16,6,1
08/16/04,11,7,19
08/17/04,27,13,9
08/18/04,25,17,16
08/19/04,12,1,2
08/20/04,12,14,14
08/21/04,11,15,26
08/22/04,17,4,13
08/23/04,18,17,20
08/24/04,19,20,15
08/25/04,3,30,4
08/26/04,25,9,29
08/27/04,22,2,8
08/28/04,25,30,3
08/29/04,17,30,15
08/30/04,19,27,5
08/31/04,16,16,24
09/01/04,13,15,4
09/02/04,5,27,6
09/03/04,20,20,11
09/04/04,30,10,22
09/05/04,12,11,5
09/06/04,27,17,14
09/07/04,2,13,17
09/08/04,7,5,30
09/09/04,27,7,1
09/10/04,12,23,1
09/11/04,12,14,15
09/12/04,25,1,7
09/13/04,2,25,11
09/14/04,4,24,9
09/15/04,2,1,25
09/16/04,30,20,18
09/17/04,18,8,17
09/18/04,14,7,29
09/19/04,7,16,6
09/20/04,26,21,24
09/21/04,30,18,29
09/22/04,9,1,12
09/23/04,16,21,18
09/24/04,11,28,5
09/25/04,23,18,16
09/26/04,25,1,12
09/27/04,22,8,17
09/28/04,22,22,12
09/29/04,30,3,15
09/30/04,24,8,6
10/01/04,28,7,10
10/02/04,11,30,25
10/03/04,28,5,25
10/04/04,13,28,8
10/05/04,4,7,14
10/06/04,13,22,5
10/07/04,19,7,11
10/08/04,13,21,10
10/09/04,6,22,13
10/10/04,9,13,19
10/11/04,25,30,27
10/12/04,26,17,14
10/13/04,20,4,2
10/14/04,2,1,10
10/15/04,23,6,29
10/16/04,24,15,3
10/17/04,1,6,22
10/18/04,27,24,12
10/19/04,5,11,6
10/20/04,13,21,5
10/21/04,11,18,28
10/22/04,22,11,12
10/23/04,16,29,4
10/24/04,14,25,11
10/25/04,18,27,14
10/26/04,17,16,24
10/27/04,16,1,7
10/28/04,28,10,29
10/29/04,8,20,22
10/30/04,20,4,19
10/31/04,8,21,10
11/01/04,17,16,19
11/02/04,26,21,23
11/03/04,11,16,13
11/04/04,13,27,20
11/05/04,22,16,7
11/06/04,20,1,18
11/07/04,15,28,10
11/08/04,3,14,29
11/09/04,24,10,20
11/10/04,11,19,4
11/11/04,4,2,11
11/12/04,7,3,26
11/13/04,18,17,17
11/14/04,18,1,17
11/15/04,7,3,9
11/16/04,24,2,16
11/17/04,28,11,21
11/18/04,12,12,20
11/19/04,26,16,8
11/20/04,6,20,8
11/21/04,19,21,4
11/22/04,18,19,27
11/23/04,7,21,13
11/24/04,20,8,19
11/25/04,20,28,19
11/26/04,23,23,28
11/27/04,14,8,23
11/28/04,8,23,13
11/29/04,16,14,5
11/30/04,3,1,11
12/01/04,3,30,2
12/02/04,30,12,18
12/03/04,13,2,23
12/04/04,17,6,4
12/05/04,28,28,8
12/06/04,14,11,7
12/07/04,12,28,27
12/08/04,5,7,12
12/09/04,30,19,26
12/10/04,18,11,27
12/11/04,16,30,11
12/12/04,22,3,27
12/13/04,9,13,5
12/14/04,11,26,25
12/15/04,3,16,17
12/16/04,8,23,27
12/17/04,4,28,2
12/18/04,16,2,30
12/19/04,29,14,12
12/20/04,8,26,9
12/21/04,15,22,11
12/22/04,27,19,25
12/23/04,4,10,12
12/24/04,28,17,6
12/25/04,4,27,14
12/26/04,22,26,2
12/27/04,19,7,22
12/28/04,20,7,6
12/29/04,13,22,14
12/30/04,8,26,6
12/31/04,22,14,1
01/01/05,9,1,5
01/02/05,25,17,12
01/03/05,29,18,29
01/04/05,14,6,9
01/05/05,7,22,18
01/06/05,16,11,30
01/07/05,24,8,9
01/08/05,4,15,7
01/09/05,7,7,16
01/10/05,20,25,12
01/11/05,20,30,24
01/12/05,15,26,18
01/13/05,15,5,17
01/14/05,8,20,9
01/15/05,12,14,7
01/16/05,18,29,11
01/17/05,17,21,25
01/18/05,8,13,17
01/19/05,21,16,21
01/20/05,13,12,1
01/21/05,10,1,3
01/22/05,21,19,17
01/23/05,25,13,27
01/24/05,21,22,10
01/25/05,23,27,28
01/26/05,6,9,13
01/27/05,2,11,14
01/28/05,21,3,18
01/29/05,1,14,24
01/30/05,14,29,18
01/31/05,23,21,22
02/01/05,28,17,23
02/02/05,17,27,5
02/03/05,8,9,4
02/04/05,17,17,12
02/05/05,8,12,11
02/06/05,3,5,8
02/07/05,15,8,27
02/08/05,22,27,30
02/09/05,11,17,19
02/10/05,25,23,17
02/11/05,25,28,1
02/12/05,13,1,20
02/13/05,2,23,30
02/14/05,9,28,9
02/15/05,18,27,30
02/16/05,10,30,6
02/17/05,17,22,18
02/18/05,28,22,30
02/19/05,4,13,16
02/20/05,26,25,6
02/21/05,16,12,13
02/22/05,11,26,21
02/23/05,12,1,24
02/24/05,24,8,24
02/25/05,19,12,3
02/26/05,15,22,19
02/27/05,19,5,14
02/28/05,21,5,13
03/01/05,4,19,18
03/02/05,4,21,8
03/03/05,14,4,3
03/04/05,28,5,13
03/05/05,24,28,5
03/06/05,24,27,21
03/07/05,11,19,14
03/08/05,7,13,21
03/09/05,22,19,26
03/10/05,9,3,19
03/11/05,24,21,16
03/12/05,5,26,6
03/13/05,18,2,29
03/14/05,12,11,29
03/15/05,19,22,2
03/16/05,8,3,22
03/17/05,23,1,24
03/18/05,18,14,8
03/19/05,14,5,15
03/20/05,24,18,4
03/21/05,28,1,11
03/22/05,7,4,21
03/23/05,4,27,4
03/24/05,30,11,29
03/25/05,6,5,7
03/26/05,17,12,19
03/27/05,9,22,30
03/28/05,23,4,21
03/29/05,12,9,22
03/30/05,3,20,1
03/31/05,7,19,5
04/01/05,22,9,6
04/02/05,27,23,3
04/03/05,4,1,26
04/04/05,24,23,18
04/05/05,30,15,15
04/06/05,18,29,7
04/07/05,18,1,16
04/08/05,2,25,28
04/09/05,29,24,3
04/10/05,3,6,8
04/11/05,6,30,7
04/12/05,17,25,13
04/13/05,25,27,30
04/14/05,5,5,16
04/15/05,29,28,14
04/16/05,2,5,12
04/17/05,28,14,14
04/18/05,9,14,20
04/19/05,8,28,3
04/20/05,10,5,18
04/21/05,23,29,17
04/22/05,21,28,10
04/23/05,3,2,2
04/24/05,21,24,15
04/25/05,19,19,2
04/26/05,24,12,13
04/27/05,12,4,23
04/28/05,10,17,28
04/29/05,22,16,14
04/30/05,27,3,23
05/01/05,29,7,28
05/02/05,25,2,26
05/03/05,15,17,30
05/04/05,19,7,23
05/05/05,1,18,9
05/06/05,14,21,5
05/07/05,18,16,25
05/08/05,7,14,15
05/09/05,14,1,14
05/10/05,1,3,15
05/11/05,13,17,3
05/12/05,1,11,27
05/13/05,14,29,11
05/14/05,13,15,15
05/15/05,30,18,7
05/16/05,23,21,24
05/17/05,22,29,19
05/18/05,29,22,3
05/19/05,3,12,29
05/20/05,18,21,30
05/21/05,5,6,19
05/22/05,1,23,25
05/23/05,20,3,14
05/24/05,5,6,22
05/25/05,22,22,9
05/26/05,8,14,9
05/27/05,14,27,21
05/28/05,20,3,3
05/29/05,26,18,7
05/30/05,7,17,14
05/31/05,19,27,15
06/01/05,4,2,9
06/02/05,7,10,16
06/03/05,8,22,10
06/04/05,20,4,13
06/05/05,17,5,18
06/06/05,27,14,3
06/07/05,23,26,7
06/08/05,11,21,11
06/09/05,5,27,12
06/10/05,18,12,21
06/11/05,19,23,10
06/12/05,9,5,18
06/13/05,1,30,17
06/14/05,24,21,2
06/15/05,7,20,25
06/16/05,21,30,19
06/17/05,25,15,9
06/18/05,11,5,23
06/19/05,23,9,16
06/20/05,28,18,18
06/21/05,18,16,19
06/22/05,16,25,12
06/23/05,4,5,4
06/24/05,18,27,1
06/25/05,18,23,24
06/26/05,22,27,3
06/27/05,14,16,18
06/28/05,19,10,16
06/29/05,13,24,9
06/30/05,9,17,26
07/01/05,9,9,15
07/02/05,14,6,16
07/03/05,3,1,16
07/04/05,23,29,1
07/05/05,24,27,29
07/06/05,27,22,25
07/07/05,23,1,27
07/08/05,5,9,1
07/09/05,26,3,22
07/10/05,14,22,21
07/11/05,16,26,10
07/12/05,24,17,28
07/13/05,16,29,2
07/14/05,1,26,27
07/15/05,2,13,21
07/16/05,21,4,30
07/17/05,8,9,26
07/18/05,13,28,27
07/19/05,12,6,2
07/20/05,27,22,21
07/21/05,12,9,19
07/22/05,29,16,22
07/23/05,1,19,6
07/24/05,15,30,9
07/25/05,10,18,24
07/26/05,25,8,2
07/27/05,18,26,4
07/28/05,3,29,12
07/29/05,16,9,8
07/30/05,6,22,7
07/31/05,8,12,6
08/01/05,20,12,6
08/02/05,17,24,4
08/03/05,8,25,21
08/04/05,13,6,7
08/05/05,27,21,19
08/06/05,8,8,7
08/07/05,18,19,2
08/08/05,18,6,15
08/09/05,13,17,21
08/10/05,12,21,13
08/11/05,23,5,7
08/12/05,30,2,3
08/13/05,20,15,25
08/14/05,12,25,2
08/15/05,8,17,12
08/16/05,14,29,13
08/17/05,17,16,6
08/18/05,22,14,12
08/19/05,22,26,9
08/20/05,24,7,19
08/21/05,12,9,19
08/22/05,11,21,3
08/23/05,5,14,1
08/24/05,27,24,12
08/25/05,1,2,24
08/26/05,30,20,14
08/27/05,21,9,19
08/28/05,29,13,9
08/29/05,1,13,10
08/30/05,26,24,2
08/31/05,26,16,6
09/01/05,15,19,19
09/02/05,23,4,1
09/03/05,14,24,1
09/04/05,23,23,12
09/05/05,13,26,26
09/06/05,9,2,14
09/07/05,22,17,3
09/08/05,29,15,29
09/09/05,28,13,5
09/10/05,9,16,28
09/11/05,18,13,24
09/12/05,25,30,14
09/13/05,23,21,5
09/14/05,1,8,22
09/15/05,8,29,26
09/16/05,17,11,6
09/17/05,17,8,22
09/18/05,14,23,17
09/19/05,24,12,21
09/20/05,29,30,28
09/21/05,1,8,30
09/22/05,7,16,19
09/23/05,24,21,11
09/24/05,9,20,14
09/25/05,30,7,28
09/26/05,25,2,10
09/27/05,7,27,22
09/28/05,29,25,24
09/29/05,23,20,5
09/30/05,3,20,30
10/01/05,10,5,4
10/02/05,10,14,15
10/03/05,21,17,15
10/04/05,21,25,17
10/05/05,15,24,11
10/06/05,2,11,13
10/07/05,29,1,16
10/08/05,2,23,4
10/09/05,17,20,19
10/10/05,7,5,2
10/11/05,5,8,8
10/12/05,18,6,30
10/13/05,8,9,10
10/14/05,7,22,5
10/15/05,15,7,20
10/16/05,11,19,25
10/17/05,13,10,23
10/18/05,14,29,8
10/19/05,12,15,11
10/20/05,1,27,26
10/21/05,1,27,21
10/22/05,21,14,30
10/23/05,8,11,24
10/24/05,23,4,30
10/25/05,9,26,11
10/26/05,21,4,18
10/27/05,19,15,26
10/28/05,26,6,8
10/29/05,23,29,2
10/30/05,15,8,15
10/31/05,8,17,1
11/01/05,7,7,22
11/02/05,13,15,21
11/03/05,8,23,18
11/04/05,8,8,21
11/05/05,6,20,24
11/06/05,22,27,21
11/07/05,18,21,8
11/08/05,20,22,29
11/09/05,28,29,26
11/10/05,4,15,19
11/11/05,13,18,23
11/12/05,3,14,23
11/13/05,28,25,16
11/14/05,17,14,21
11/15/05,20,15,14
11/16/05,28,5,29
11/17/05,27,22,12
11/18/05,25,8,30
11/19/05,21,9,15
11/20/05,5,22,10
11/21/05,15,15,22
11/22/05,24,16,14
11/23/05,4,29,24
11/24/05,19,29,24
11/25/05,3,20,24
11/26/05,10,2,4
11/27/05,21,3,27
11/28/05,26,11,12
11/29/05,1,4,9
11/30/05,17,5,30
12/01/05,11,27,24
12/02/05,10,25,22
12/03/05,10,2,25
12/04/05,30,19,19
12/05/05,22,2,7
12/06/05,16,17,18
12/07/05,28,23,27
12/08/05,22,19,11
12/09/05,24,24,6
12/10/05,11,28,20
12/11/05,2,13,21
12/12/05,24,15,15
12/13/05,23,2,13
12/14/05,6,28,6
12/15/05,8,8,3
12/16/05,17,17,5
12/17/05,18,26,4
12/18/05,11,6,25
12/19/05,24,23,5
12/20/05,15,7,18
12/21/05,24,29,21
12/22/05,1,30,22
12/23/05,20,21,28
12/24/05,7,23,24
12/25/05,7,9,20
12/26/05,14,12,18
12/27/05,25,14,2
12/28/05,22,27,10
12/29/05,21,9,7
12/30/05,3,20,2
12/31/05,6,17,30
01/01/06,21,10,30
01/02/06,13,21,29
01/03/06,7,1,2
01/04/06,3,11,20
01/05/06,19,5,22
01/06/06,12,1,22
01/07/06,13,23,19
01/08/06,18,26,23
01/09/06,19,30,8
01/10/06,7,2,29
01/11/06,24,25,13
01/12/06,9,16,20
01/13/06,15,1,14
01/14/06,6,14,13
01/15/06,8,21,9
01/16/06,13,17,28
01/17/06,3,15,9
01/18/06,18,21,4
01/19/06,28,13,1
01/20/06,30,23,26
01/21/06,20,1,14
01/22/06,11,5,20
01/23/06,6,7,13
01/24/06,18,29,12
01/25/06,15,9,12
01/26/06,25,12,8
01/27/06,1,9,28
01/28/06,9,29,18
01/29/06,14,6,15
01/30/06,25,25,23
01/31/06,9,27,12
02/01/06,9,13,16
02/02/06,12,18,2
02/03/06,10,24,8
02/04/06,30,8,14
02/05/06,18,14,6
02/06/06,6,3,30
02/07/06,22,29,24
02/08/06,30,3,6
02/09/06,11,24,14
02/10/06,22,11,18
02/11/06,23,25,11
02/12/06,1,30,10
02/13/06,28,1,15
02/14/06,29,7,24
02/15/06,25,9,15
02/16/06,12,21,10
02/17/06,18,15,27
02/18/06,25,7,7
02/19/06,18,22,11
02/20/06,8,8,30
02/21/06,1,14,9
02/22/06,9,3,14
02/23/06,29,22,15
02/24/06,11,5,8
02/25/06,28,18,18
02/26/06,6,22,4
02/27/06,22,3,27
02/28/06,18,10,11
03/01/06,4,14,6
03/02/06,5,4,3
03/03/06,27,6,2
03/04/06,7,20,14
03/05/06,5,1,14
03/06/06,2,20,19
03/07/06,18,27,12
03/08/06,15,17,19
03/09/06,22,4,26
03/10/06,2,20,28
03/11/06,16,25,3
03/12/06,23,17,24
03/13/06,2,5,15
03/14/06,14,12,11
03/15/06,3,25,10
03/16/06,20,29,3
03/17/06,27,13,3
03/18/06,14,22,24
03/19/06,27,27,23
03/20/06,13,18,26
03/21/06,7,21,19
03/22/06,16,10,28
03/23/06,2,24,25
03/24/06,17,26,1
03/25/06,24,9,1
03/26/06,28,10,12
03/27/06,25,17,23
03/28/06,18,8,18
03/29/06,26,2,4
03/30/06,12,13,10
03/31/06,27,19,27
04/01/06,25,17,4
04/02/06,2,11,26
04/03/06,16,27,10
04/04/06,21,21,25
04/05/06,26,12,15
04/06/06,27,11,28
04/07/06,3,11,15
04/08/06,21,18,30
04/09/06,9,28,12
04/10/06,24,30,23
04/11/06,10,28,14
04/12/06,15,18,8
04/13/06,24,16,15
04/14/06,17,23,23
04/15/06,3,7,1
04/16/06,17,24,18
04/17/06,5,27,15
04/18/06,23,14,24
04/19/06,8,16,19
04/20/06,4,12,27
04/21/06,30,26,26
04/22/06,24,7,12
04/23/06,25,19,7
04/24/06,18,29,5
04/25/06,20,24,6
04/26/06,2,18,15
04/27/06,20,28,6
04/28/06,22,27,20
04/29/06,20,9,29
04/30/06,18,6,28
05/01/06,7,19,24
05/02/06,11,12,16
05/03/06,16,25,3
05/04/06,6,16,16
05/05/06,12,2,25
05/06/06,30,4,10
05/07/06,14,22,15
05/08/06,20,17,7
05/09/06,11,13,28
05/10/06,24,2,13
05/11/06,27,23,10
05/12/06,1,13,21
05/13/06,26,21,7
05/14/06,6,5,11
05/15/06,15,15,2
05/16/06,20,17,30
05/17/06,2,28,21
05/18/06,19,27,8
05/19/06,6,11,5
05/20/06,30,14,14
05/21/06,2,5,8
05/22/06,13,15,17
05/23/06,22,26,4
05/24/06,1,9,11
05/25/06,23,3,8
05/26/06,17,27,2
05/27/06,19,28,24
05/28/06,10,23,7
05/29/06,24,24,6
05/30/06,10,10,27
05/31/06,7,12,28
06/01/06,10,11,21
06/02/06,14,21,6
06/03/06,29,14,17
06/04/06,1,4,1
06/05/06,24,7,7
06/06/06,21,17,28
06/07/06,13,28,6
06/08/06,5,7,13
06/09/06,7,2,13
06/10/06,7,7,25
06/11/06,1,5,13
06/12/06,2,20,17
06/13/06,13,29,20
06/14/06,8,22,17
06/15/06,16,24,23
06/16/06,22,29,30
06/17/06,6,3,11
06/18/06,26,12,14
06/19/06,3,9,23
06/20/06,28,22,8
06/21/06,12,25,27
06/22/06,28,25,6
06/23/06,21,19,30
06/24/06,28,15,10
06/25/06,9,2,30
06/26/06,8,1,13
06/27/06,4,23,14
06/28/06,8,1,16
06/29/06,27,7,28
06/30/06,23,2,19
07/01/06,16,28,16
07/02/06,22,21,11
07/03/06,30,15,23
07/04/06,3,14,8
07/05/06,22,28,22
07/06/06,4,8,5
07/07/06,26,19,29
07/08/06,11,17,30
07/09/06,15,16,18
07/10/06,3,5,15
07/11/06,14,18,11
07/12/06,23,9,8
07/13/06,5,18,16
07/14/06,26,12,2
07/15/06,5,1,2
07/16/06,22,23,5
07/17/06,3,2,16
07/18/06,30,3,3
07/19/06,4,23,20
07/20/06,18,19,12
07/21/06,30,2,4
07/22/06,8,26,15
07/23/06,27,12,15
07/24/06,16,26,17
07/25/06,5,22,20
07/26/06,26,24,29
07/27/06,16,13,14
07/28/06,11,19,9
07/29/06,26,7,18
07/30/06,20,25,28
07/31/06,6,16,29
08/01/06,12,16,29
08/02/06,15,30,17
08/03/06,10,6,18
08/04/06,8,7,13
08/05/06,9,27,3
08/06/06,29,13,8
08/07/06,12,2,5
08/08/06,30,1,6
08/09/06,29,12,29
08/10/06,20,15,22
08/11/06,23,6,7
08/12/06,22,28,11
08/13/06,3,7,13
08/14/06,8,16,19
08/15/06,15,25,8
08/16/06,9,30,27
08/17/06,21,8,23
08/18/06,12,13,7
08/19/06,12,4,28
08/20/06,1,29,16
08/21/06,13,30,25
08/22/06,13,1,28
08/23/06,15,15,15
08/24/06,24,8,1
08/25/06,22,25,18
08/26/06,6,30,29
08/27/06,2,8,23
08/28/06,24,30,4
08/29/06,7,18,14
08/30/06,8,11,8
08/31/06,23,14,29
09/01/06,9,13,27
09/02/06,17,23,10
09/03/06,16,6,11
09/04/06,1,7,12
09/05/06,9,11,20
09/06/06,25,2,13
09/07/06,29,27,8
09/08/06,15,26,7
09/09/06,16,13,14
09/10/06,19,13,28
09/11/06,14,2,14
09/12/06,21,9,17
09/13/06,29,10,15
09/14/06,7,13,23
09/15/06,7,4,6
09/16/06,4,14,21
09/17/06,19,29,8
09/18/06,15,26,29
09/19/06,9,25,14
09/20/06,27,5,18
09/21/06,27,1,28
09/22/06,13,26,3
09/23/06,24,6,20
09/24/06,8,15,6
09/25/06,16,12,12
09/26/06,5,3,12
09/27/06,16,8,5
09/28/06,13,4,16
09/29/06,16,6,28
09/30/06,15,29,6
10/01/06,18,10,23
10/02/06,11,27,30
10/03/06,4,11,13
10/04/06,25,29,25
10/05/06,20,23,7
10/06/06,10,5,15
10/07/06,30,23,16
10/08/06,16,12,7
10/09/06,12,22,18
10/10/06,21,24,17
10/11/06,4,5,1
10/12/06,8,23,28
10/13/06,2,18,24
10/14/06,9,21,8
10/15/06,19,1,29
10/16/06,21,5,16
10/17/06,13,13,22
10/18/06,15,5,17
10/19/06,8,2,11
10/20/06,10,9,9
10/21/06,23,7,12
10/22/06,22,15,25
10/23/06,2,14,19
10/24/06,8,30,17
10/25/06,5,1,25
10/26/06,18,2,8
10/27/06,10,11,17
10/28/06,10,13,16
10/29/06,8,17,20
10/30/06,25,16,26
10/31/06,22,12,11
11/01/06,21,16,15
11/02/06,21,29,6
11/03/06,8,7,4
11/04/06,30,7,20
11/05/06,6,8,25
11/06/06,30,3,24
11/07/06,29,23,3
11/08/06,10,11,6
11/09/06,13,11,25
11/10/06,26,9,17
11/11/06,12,8,24
11/12/06,13,14,11
11/13/06,9,19,27
11/14/06,7,19,4
11/15/06,27,27,1
11/16/06,11,28,29
11/17/06,6,20,11
11/18/06,29,2,27
11/19/06,9,18,28
11/20/06,22,8,13
11/21/06,4,25,16
11/22/06,13,26,19
11/23/06,13,15,13
11/24/06,11,11,2
11/25/06,15,20,25
11/26/06,25,25,18
11/27/06,10,10,28
11/28/06,25,12,20
11/29/06,8,15,12
11/30/06,10,29,25
12/01/06,6,20,21
12/02/06,1,11,14
12/03/06,17,27,25
12/04/06,19,21,3
12/05/06,15,17,29
12/06/06,9,28,11
12/07/06,16,28,29
12/08/06,5,6,12
12/09/06,10,11,22
12/10/06,14,6,14
12/11/06,2,22,9
12/12/06,29,11,10
12/13/06,6,29,19
12/14/06,29,1,13
12/15/06,27,23,8
12/16/06,10,20,22
12/17/06,23,26,12
12/18/06,16,25,19
12/19/06,26,22,28
12/20/06,11,8,1
12/21/06,25,3,30
12/22/06,12,20,4
12/23/06,15,9,24
12/24/06,22,12,20
12/25/06,6,15,22
12/26/06,7,25,1
12/27/06,17,5,19
12/28/06,1,17,15
12/29/06,11,28,23
12/30/06,18,29,15
12/31/06,28,13,8
01/01/07,25,4,9
